Id,Label,timeset,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Weighted Degree,modularity_class,eigencentrality
"참고",참고,,142,2,0.629562,0.705797,99.790596,490,1,0.532618
"이라",이라,,163,2,0.654649,0.736232,149.435204,678,0,0.595583
3월,3월,,165,2,0.657143,0.73913,173.026246,670,0,0.594636
"불규칙하다",불규칙하다,,151,2,0.640074,0.718841,129.726901,622,0,0.544313
4월,4월,,131,2,0.617174,0.689855,89.063768,476,0,0.479474
"일단",일단,,133,2,0.61939,0.692754,83.399658,452,1,0.504917
12,12,,142,2,0.629562,0.705797,127.665307,436,1,0.515094
"투명",투명,,105,2,0.589744,0.652174,58.98841,584,2,0.392857
"정확하다",정확하다,,133,2,0.61939,0.692754,68.737234,414,1,0.517904
"어",어,,109,2,0.593804,0.657971,49.390396,354,1,0.422717
5일,5일,,135,2,0.621622,0.695652,107.531192,524,0,0.493522
"평소",평소,,135,2,0.621622,0.695652,94.9901,480,1,0.50767
"ㅠㅜ",ㅠㅜ,,125,2,0.610619,0.681159,86.647533,420,0,0.465726
"ㅜㅠ",ㅜㅠ,,100,2,0.584746,0.644928,46.930413,286,0,0.385341
"불규칙",불규칙,,115,2,0.6,0.666667,84.630429,394,0,0.41663
"가보다",가보다,,111,2,0.595855,0.66087,48.732965,396,0,0.440669
"그거",그거,,133,2,0.61939,0.692754,79.978754,438,1,0.507785
"분비물",분비물,,104,2,0.588737,0.650725,45.829029,366,1,0.406158
"그것",그것,,112,2,0.596886,0.662319,59.893845,538,2,0.429549
"끈",끈,,99,2,0.583756,0.643478,42.710417,368,1,0.380857
"기간",기간,,111,2,0.595855,0.66087,63.109804,348,0,0.418941
"일찍",일찍,,94,2,0.578859,0.636232,41.403578,280,0,0.366693
12월,12월,,111,2,0.595855,0.66087,46.247727,368,0,0.43701
"달에",달에,,115,2,0.6,0.666667,78.883713,392,0,0.418208
6월,6월,,149,2,0.637708,0.715942,129.761642,528,0,0.533359
"완전",완전,,107,2,0.591767,0.655072,58.558281,332,0,0.412637
"젖다",젖다,,90,2,0.575,0.630435,30.274608,294,1,0.359405
"아주",아주,,147,2,0.635359,0.713043,130.113135,432,0,0.53295
"팬티라이너",팬티라이너,,118,2,0.603147,0.671014,71.671864,398,0,0.450079
5월,5월,,130,2,0.616071,0.688406,90.974481,432,0,0.469277
"하얗다",하얗다,,114,2,0.598958,0.665217,66.337725,366,1,0.417907
24일,24일,,97,2,0.581788,0.64058,46.371017,292,0,0.357433
"부탁",부탁,,93,2,0.577889,0.634783,45.4262,306,0,0.368285
"치료",치료,,90,2,0.575,0.630435,37.999699,264,1,0.344927
