Id,Label,timeset,Degree,Weighted Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
온,온,,386,1102,1,2,0.784661,0.862782,10.596722
날다,날다,,242,578,1,2,0.647202,0.727444,3.783122
설마,설마,,374,1182,1,2,0.771014,0.851504,10.112287
진,진,,400,1244,1,2,0.801205,0.87594,13.721304
포경,포경,,486,7492,0,2,0.920415,0.956767,27.721113
음경,음경,,486,6982,0,2,0.920415,0.956767,27.662991
고환,고환,,458,4486,0,2,0.877888,0.930451,19.696613
몽정,몽정,,466,4858,0,2,0.889632,0.93797,22.176441
노발,노발,,474,6370,0,2,0.901695,0.945489,22.20098
풀발,풀발,,470,6274,0,2,0.895623,0.941729,19.956475
꼬털,꼬털,,488,5530,0,2,0.923611,0.958647,30.373692
목소리,목소리,,248,640,1,2,0.651961,0.733083,5.009294
수북하다,수북하다,,434,4362,0,2,0.844444,0.907895,12.181297
